{'loss': 1.987083077430725, 'cancer_mean': 0.4150696098804474, 'tissue_mean': 0.7731225490570068, 'ad_mean': 0.7307058572769165, 'reconstruct_mean': 0.06818511337041855}
{'loss': 1.9822207689285278, 'cancer_mean': 0.40811091661453247, 'tissue_mean': 0.7715192437171936, 'ad_mean': 0.7371797561645508, 'reconstruct_mean': 0.06541085243225098}
{'loss': 1.9991284608840942, 'cancer_mean': 0.4152117073535919, 'tissue_mean': 0.7723164558410645, 'ad_mean': 0.7442628145217896, 'reconstruct_mean': 0.06733755767345428}
{'loss': 2.0078787803649902, 'cancer_mean': 0.41249433159828186, 'tissue_mean': 0.7729442715644836, 'ad_mean': 0.7544018626213074, 'reconstruct_mean': 0.06803830713033676}
{'loss': 2.0181071758270264, 'cancer_mean': 0.41085004806518555, 'tissue_mean': 0.7761830687522888, 'ad_mean': 0.7622660994529724, 'reconstruct_mean': 0.06880783289670944}
{'loss': 2.020811080932617, 'cancer_mean': 0.4092005491256714, 'tissue_mean': 0.773539662361145, 'ad_mean': 0.7692258954048157, 'reconstruct_mean': 0.06884507089853287}
{'loss': 2.024291753768921, 'cancer_mean': 0.404389351606369, 'tissue_mean': 0.7698280215263367, 'ad_mean': 0.7819426655769348, 'reconstruct_mean': 0.06813158094882965}
{'loss': 2.035968542098999, 'cancer_mean': 0.4086918830871582, 'tissue_mean': 0.7764350771903992, 'ad_mean': 0.7832831740379333, 'reconstruct_mean': 0.06755821406841278}
{'loss': 2.0459485054016113, 'cancer_mean': 0.40411096811294556, 'tissue_mean': 0.7703040242195129, 'ad_mean': 0.8009105920791626, 'reconstruct_mean': 0.07062293589115143}
{'loss': 2.057908296585083, 'cancer_mean': 0.41064026951789856, 'tissue_mean': 0.7721542119979858, 'ad_mean': 0.8048784136772156, 'reconstruct_mean': 0.07023537904024124}
{'loss': 2.055039167404175, 'cancer_mean': 0.39276427030563354, 'tissue_mean': 0.7729572653770447, 'ad_mean': 0.8178741335868835, 'reconstruct_mean': 0.07144363969564438}
{'loss': 2.0624818801879883, 'cancer_mean': 0.39724892377853394, 'tissue_mean': 0.7680470943450928, 'ad_mean': 0.8267923593521118, 'reconstruct_mean': 0.07039348036050797}
{'loss': 2.0785887241363525, 'cancer_mean': 0.40663158893585205, 'tissue_mean': 0.7718219757080078, 'ad_mean': 0.8300239443778992, 'reconstruct_mean': 0.07011125236749649}
{'loss': 2.084925413131714, 'cancer_mean': 0.39501985907554626, 'tissue_mean': 0.7722144722938538, 'ad_mean': 0.846685528755188, 'reconstruct_mean': 0.07100557535886765}
{'loss': 2.0794177055358887, 'cancer_mean': 0.3843253254890442, 'tissue_mean': 0.7716414332389832, 'ad_mean': 0.8510036468505859, 'reconstruct_mean': 0.07244741916656494}
{'loss': 2.1155953407287598, 'cancer_mean': 0.403897762298584, 'tissue_mean': 0.7730719447135925, 'ad_mean': 0.8654358983039856, 'reconstruct_mean': 0.07318981736898422}
{'loss': 2.1199915409088135, 'cancer_mean': 0.4048123061656952, 'tissue_mean': 0.7736430764198303, 'ad_mean': 0.8695165514945984, 'reconstruct_mean': 0.07201968878507614}
{'loss': 2.1134064197540283, 'cancer_mean': 0.3826277554035187, 'tissue_mean': 0.7715462446212769, 'ad_mean': 0.8879713416099548, 'reconstruct_mean': 0.07126126438379288}
